control_id,expected_zone,municipality_or_feature,geometry_evidence,reference_evidence,result,limitations
C01,3,Rincón de Ademuz; Ademuz (46001),Zona 3 tiene dos partes; Ademuz está cubierto por el componente noroccidental separado.,El componente separado aparece al oeste de 1S y está integrado visualmente en la zona rotulada 3.,coincide,El PNG no rotula municipios ni está georreferenciado.
C02,1N|1S,Culla (12051) / Atzeneta del Maestrat (12001),Los términos comparten el límite 1N/1S.,La frontera 1N/1S es continua y separa inequívocamente ambas rotulaciones.,coincide,La línea oficial tiene grosor y antialiasing.
C03,1N|2,Rossell (12096) / Canet lo Roig (12036),Los términos comparten la frontera oriental 1N/2.,La frontera oriental de 1N desemboca en la zona 2 con la misma posición relativa.,coincide,No se pueden identificar términos individuales en el PNG.
C04,1S|2,Alfondeguilla (12007) / la Vall d'Uixó (12126),Los términos comparten la frontera meridional 1S/2.,La cuña meridional de 1S y el corredor de 2 se reconocen en la referencia.,coincide,"Comparación visual, no medición cartográfica."
C05,1S|3,Jérica (12071) / Altura (12012),Los términos comparten un tramo largo de frontera 1S/3.,El escalón entre 1S y la gran zona 3 coincide en posición y forma general.,coincide,Generalización y grosor de línea a 500 px.
C06,2|4,la Vall d'Uixó (12126) / Sagunt (46220),Los términos comparten la transición costera 2/4.,El extremo sur de 2 conecta con la estrecha zona 4 en el mismo punto relativo.,coincide,Etiquetas próximas y trazo negro ocultan detalles finos.
C07,3|4,Albalat dels Tarongers (46010) / Sagunt (46220),Los términos comparten la frontera 3/4 al oeste de la costa.,La franja 4 queda encajada entre 3 y la costa como en la geometría.,coincide,La marca de agua y el código 4 reducen legibilidad local.
C08,3|5,Tous (46246) / Alzira (46017),Los términos comparten la frontera principal 3/5.,La base de 3 y la cabecera de 5 coinciden en forma y posición relativa.,coincide,La referencia no muestra nombres municipales.
C09,4|5,Cullera (46105) / Tavernes de la Valldigna (46238),Los términos comparten la transición costera 4/5.,El extremo sur estrecho de 4 termina contra 5 en la misma posición.,coincide,Resolución y antialiasing de la línea costera.
C10,5|6,Xixona/Jijona (03083) / Alacant/Alicante (03014),Los términos comparten un tramo reconocible de frontera 5/6.,La frontera 5/6 y el cambio de anchura hacia el sur coinciden.,coincide,La línea oficial no permite medir desplazamientos subpíxel.
C11,3|5,"Hueco de zona 3 y componente enclavado de Alzira (46017), zona 5","El único hueco de 3 coincide exactamente con una parte de zona 5 de 28.486.811,49 m².",La referencia muestra el pequeño enclave blanco conectado visualmente con la rotulación/contorno de 5 dentro de 3.,coincide,La marca de agua y los rótulos 3/4 ocultan parte del contorno.
C12,4,Discontinuidades de zona 4: Sagunt (46220) y València (46250),Zona 4 conserva cinco partes; cuatro son microcomponentes de Sagunt/València.,La forma principal estrecha de 4 es reconocible; los microcomponentes quedan en el límite de resolución.,coincide_con_limitacion,Tres componentes miden menos de un píxel a esta escala.
C13,2|4|5|6,"Pequeñas partes costeras e insulares de zonas 2, 4, 5 y 6","Se renderizan las 29, 5, 67 y 154 partes respectivas sin filtrado.","La referencia conserva las partes visibles, incluidos los puntos insulares al este de 2; muchas partes menores son subpíxel.",coincide_con_limitacion,La ausencia visual de una microparte subpíxel no prueba ausencia cartográfica.
C14,1N|6,Extremos norte y sur,"Extremos proyectados a (296,2; 8,0) y (187,8; 826,0) px con la transformación fijada.","Los extremos visibles están en aproximadamente (296,8) y (188,826).",coincide,Lectura manual del borde antialiasado.
C15,1N|1S|2|3|4|5|6,Costa completa y posición relativa de las siete zonas,"Las siete MultiPolygon se dibujan completas, sin simplificación, relleno de huecos ni filtrado de partes.","Silueta, costa, orden norte-sur y fronteras internas son inequívocamente equivalentes.",coincide,El PNG es una representación gráfica no georreferenciada de 500×835 px.
